R_Cam.11
5218.7234	286.0000
5218.7547	482.0000
5218.7860	513.0000
5218.8173	550.0000
5218.8485	507.0000
5218.8798	587.0000
5218.9111	578.0000
5218.9424	514.0000
5218.9737	417.0000
5219.0050	405.0000
5219.0363	427.0000
5219.0675	362.0000
5219.0988	355.0000
5219.1300	436.0000
5219.1613	443.0000
5219.1926	422.0000
5219.2238	369.0000
5219.2551	423.0000
5219.2863	522.0000
5219.3176	431.0000
5219.3488	367.0000
5219.3801	375.0000
5219.4114	413.0000
5219.4426	453.0000
5219.4739	519.0000
5219.5051	452.0000
5219.5363	414.0000
5219.5676	402.0000
5219.5988	361.0000
5219.6301	319.0000
5219.6613	213.0000
5219.6926	258.0000
5219.7238	216.0000
5219.7550	238.0000
5219.7863	316.0000
5219.8175	336.0000
5219.8487	313.0000
5219.8800	284.0000
5219.9112	363.0000
5219.9424	459.0000
5219.9737	383.0000
5220.0049	427.0000
5220.0362	500.0000
5220.0674	445.0000
5220.0986	469.0000
5220.1299	481.0000
5220.1611	517.0000
5220.1923	619.0000
5220.2235	673.0000
5220.2547	755.0000
5220.2860	782.0000
5220.3172	778.0000
5220.3484	827.0000
5220.3796	929.0000
5220.4108	843.0000
5220.4420	820.0000
5220.4732	765.0000
5220.5044	845.0000
5220.5356	811.0000
5220.5668	750.0000
5220.5980	603.0000
5220.6292	608.0000
5220.6604	536.0000
5220.6916	532.0000
5220.7228	503.0000
5220.7540	463.0000
5220.7852	491.0000
5220.8164	489.0000
5220.8476	480.0000
5220.8788	446.0000
5220.9100	475.0000
5220.9412	403.0000
5220.9724	426.0000
5221.0036	432.0000
5221.0347	589.0000
5221.0659	613.0000
5221.0972	662.0000
5221.1284	781.0000
5221.1596	874.0000
5221.1907	893.0000
5221.2219	835.0000
5221.2531	831.0000
5221.2843	817.0000
5221.3154	701.0000
5221.3466	752.0000
5221.3778	680.0000
5221.4089	597.0000
5221.4401	591.0000
5221.4713	597.0000
5221.5024	554.0000
5221.5336	516.0000
5221.5648	466.0000
5221.5959	470.0000
5221.6271	387.0000
5221.6583	369.0000
5221.6894	467.0000
5221.7206	529.0000
5221.7517	600.0000
5221.7829	613.0000
5221.8140	721.0000
5221.8452	816.0000
5221.8763	822.0000
5221.9075	841.0000
5221.9386	912.0000
5221.9698	837.0000
5222.0009	784.0000
5222.0321	809.0000
5222.0632	838.0000
5222.0943	954.0000
5222.1255	963.0000
5222.1567	895.0000
5222.1879	815.0000
5222.2190	784.0000
5222.2501	719.0000
5222.2813	515.0000
5222.3124	462.0000
5222.3435	416.0000
5222.3746	502.0000
5222.4058	480.0000
5222.4369	456.0000
5222.4680	491.0000
5222.4991	654.0000
5222.5303	606.0000
5222.5614	550.0000
5222.5925	490.0000
5222.6236	477.0000
5222.6547	460.0000
5222.6859	531.0000
5222.7170	563.0000
5222.7481	658.0000
5222.7792	777.0000
5222.8103	864.0000
5222.8414	1041.0000
5222.8725	1046.0000
5222.9036	1052.0000
5222.9347	982.0000
5222.9659	944.0000
5222.9970	775.0000
5223.0281	702.0000
5223.0592	665.0000
5223.0903	602.0000
5223.1214	633.0000
5223.1525	473.0000
5223.1836	487.0000
5223.2147	459.0000
5223.2458	424.0000
5223.2769	421.0000
5223.3080	466.0000
5223.3391	400.0000
5223.3702	430.0000
5223.4013	572.0000
5223.4324	679.0000
5223.4635	785.0000
5223.4945	804.0000
5223.5256	796.0000
